Place,Coordinates
Amoy,"24.476902,118.075386"
Astoria,"46.187445,-123.833457"
Australia,"-37.84918,144.926753"
Barclay Sound,"48.891933,-125.267909"
Bellingham Bay,"48.7534,-122.4683"
Benicia,"38.0704,-122.1542"
Boston,"42.3189,-71.0838"
Callao,"-12.07,-77.135"
China,"22.305,114.185"
Clayoquot,"49.363895,-125.780433"
Columbia River,"46.187445,-123.833457"
Cowichan,"48.741021, -123.620702"
Dungeness,"48.151494, -123.143294"
England,"51.5,-0.1167"
Falmouth,"50.156473,-5.070683"
Guayamas,"27.917102,-110.889532"
Hampton Roads,"36.946579,-76.363102"
Hawaiian Islands,"21.3293,-157.846"
Hilo,"19.728269,-155.078925"
Hong Kong,"22.305,114.185"
Honolulu,"21.3293,-157.846"
Hood Canal,
Lahaina,"20.8783,-156.6825"
London,"51.5,-0.1167"
Melbourne,"-37.84918,144.926753"
Mendocino,"39.303776,-123.803856"
Nanaimo,"49.146,-123.9343"
New Dungeness,"48.151494, -123.143294"
New South Wales,"-37.84918,144.926753"
New Westminster,"49.2734,-123.1216"
Nisqually,"47.097092,-122.677071"
Nitinat,"48.671197,-124.851341"
Olympia,"47.0417,-122.8958"
Penn's Cove,"48.220697,-122.686351"
Peru,"-12.07,-77.135"
Plymouth,"50.361752,-4.146933"
Point Roberts,"48.990093,-123.056154"
Port Discovery,"48.016226,-122.862093"
Port Gamble,"47.855755,-122.583672"
Port Ludlow,"47.923508,-122.685554"
Port Madison,"47.703295,-122.52621"
Port Orchard,"47.516,-122.6616"
Port Phillip,"-37.8465,-144.9667"
Port Townsend,"48.1219,-122.7873"
Portland,"45.5372,-122.65"
Queen Charlotte's Islands,"53.255583,-132.087168"
Queensborough,"49.199720, -122.911848"
San Francisco,"45.5372,-122.65"
Seattle,"37.7561,-122.4429"
Shanghai,"47.6217,-122.3238"
Shoalwater Bay,"31.2165,121.4365"
Singapore,"1.293,103.8558"
Steilacoom,"47.1702,-122.5938"
Sydney,"-33.92,151.1852"
Toulon,"43.121446,5.923297"
Valparaiso,"-33.040772,-71.62118"
Vancouver's Island,"48.4333,-123.35"
Victoria,"48.4333,-123.35"
Whatcom,"48.7534,-122.4683"
